/proc/oppoVersion/prjVersion,/proc/oppoVersion/operatorName,project
18081,8,18081
18081,2,18082
18081,5,18381
18085,8,18085
18085,2,18086
18181,8,18181
18181,2,18182
18181,5,18385
18181,11,18386
18097,8,18097
18097,5,18397
18097,2,18098
18097,8,18099
18097,2,18100
18041,8,18041
18041,2,18038
18041,5,18539
18097,8,18041
18097,8,18037
18097,2,18038
18621,31,18621
18621,30,18623
18621,32,18625
18621,33,18627
18621,34,18633
18621,8,18637
18621,2,18638
19691,30,19691
19691,5,19692
19691,32,19693
19691,8,19791
